rxn,h,f,spe,zpe,u
MR_33912_2,-305.46772134625,-305.51490334625,-305.61558134625,-305.47926434625,-305.46866534625
MR_3626_2,-351.09840765373997,-351.14872165374,-351.32219265374,-351.11057465374,-351.09935165374
MR_277852_0_61_6_6_7_6,-813.3931403409799,-813.46247434098,-813.65893134098,-813.41265834098,-813.3940843409799
MR_466963_1_50_4_9_7_7,-906.8659483225399,-906.92802832254,-907.04149932254,-906.88280032254,-906.8668923225399
MR_134446_2_36_3_5_3_2,-791.56024002484,-791.62737602484,-791.82289502484,-791.5794470248401,-791.56118402484
MR_164152_2,-382.7805672446,-382.8278712446,-382.9639482446,-382.79273424459996,-382.7815112446
MR_29435_0,-331.14199427522,-331.18946927522,-331.38118827522,-331.15394227522,-331.14293827522
MR_35830_0_37_3_4_4_2,-646.12940668553,-646.19579568553,-646.40523768553,-646.14874968553,-646.13035068553
MR_304525_2,-365.95726342188004,-366.00172142188,-366.15146042188,-365.96781942188,-365.95820742188
MR_528014_1_11_4_10,-512.4553530082101,-512.50584400821,-512.65971400821,-512.4684130082101,-512.4562980082101
MR_70926_2,-248.04328973366,-248.08177373366,-248.14471873366,-248.05125373366,-248.04423373366
MR_122156_0_45_4_6_7_12,-761.55248924086,-761.61723024086,-761.85987424086,-761.57093924086,-761.55343324086
MR_624208_0,-405.16484355624,-405.21162155624,-405.38316255624,-405.17670055624,-405.16578755624
MR_326361_0_70_8_31_8_15,-833.03584696746,-833.1005189674601,-833.36994696746,-833.05410696746,-833.03679196746
MR_278023_1,-436.16565924002,-436.21071024002,-436.34338424002,-436.17647524002,-436.16660324002
MR_595179_2,-416.69670958493,-416.73868158492996,-416.82911658493,-416.70619458492996,-416.69765358493
MR_440142_0,-396.90024425628997,-396.94254125629,-397.04946125629,-396.90988025628997,-396.90118825628997
MR_290528_1_28_5_10,-529.21940788848,-529.26387888848,-529.36397488848,-529.22948588848,-529.22035188848
MR_248768_0_7_1_6_8_37,-910.900571088,-910.970454088,-911.212349088,-910.921388088,-910.901515088
MR_541095_1_46_4_2_8_64,-813.59990391409,-813.66267791409,-813.88777091409,-813.61776891409,-813.60084791409
MR_165620_1_44_4_8_6_8,-638.88429507633,-638.9476660763299,-639.09057107633,-638.90197707633,-638.88524007633
MR_111358_0_41_3_6_8_50,-764.2077931226399,-764.27568512264,-764.50812412264,-764.22713412264,-764.20873712264
MR_406433_1_54_5_6_7_18,-848.23386165552,-848.30221365552,-848.45511365552,-848.25311165552,-848.23480565552
MR_654814_2,-357.62134915255996,-357.66054515255996,-357.73886415256,-357.62962615256,-357.62229315255996
MR_149359_1_43_4_13_5_6,-685.57739860659,-685.64355660659,-685.88476160659,-685.5972766065901,-685.57834260659
MR_304525_2_36_3_3_3_4,-781.56884266381,-781.63609566381,-781.88052666381,-781.58825566381,-781.56978666381
MR_606064_1,-396.91138091624,-396.95446191624,-397.05801191624,-396.92160191624,-396.91232491624
MR_506067_0,-246.65441955973,-246.69564755973,-246.80227155973,-246.66363955973,-246.65536355973
MR_632553_0_46_4_7_8_22,-817.59816006097,-817.65914606097,-817.88643506097,-817.61537606097,-817.59910406097
MR_238926_2_17_2_11,-607.10078807993,-607.1553910799299,-607.35256507993,-607.1154200799299,-607.10173207993
MR_388469_0_41_3_6_8_54,-868.25762938118,-868.32004338118,-868.48548038118,-868.2748043811799,-868.25857338118
MR_416472_1_42_4_4_4_12,-606.7786768219399,-606.83986082194,-607.01106182194,-606.79566882194,-606.77962082194
MR_49699_0_28_2_10_7_8,-757.59650756751,-757.66523356751,-757.90272256751,-757.61692656751,-757.59745156751
MR_558865_2,-381.80001491986997,-381.84281991986995,-381.96670591987,-381.80992891987,-381.80095891986997
MR_430547_0_41_3_3_8_5,-716.39243464453,-716.4531666445299,-716.65317064453,-716.4097536445299,-716.39337964453
MR_447321_2_3_1_2_4_12,-856.89058085368,-856.95828485368,-857.20695985368,-856.91132085368,-856.89152485368
MR_446382_0_63_6_8_6_4,-717.91864872402,-717.98645972402,-718.13052072402,-717.93816672402,-717.91959372402
MR_430536_0_53_5_5_6_3,-761.03324504086,-761.09622804086,-761.27898504086,-761.05104004086,-761.03418904086
MR_45025_1_34_3_6_7_1,-760.43697709196,-760.5035640919599,-760.73346309196,-760.45579609196,-760.43792109196
MR_424099_0,-342.61988861446,-342.66558761446,-342.76729961446,-342.63025461446,-342.62083261446
