smi,h,f,spe,zpe,u
COC(C)(OC(N)=O)C(C)(N)NNC(C)=O,-835.3757734129999,-835.440543413,-835.680783413,-835.395030413,-835.3767184129999
N=C(O)NO,-300.35930468199996,-300.39392768199997,-300.432332682,-300.36571968199996,-300.36024868199996
CN=C(C)CC(C)C(=NO)NOO,-665.294673022,-665.352260022,-665.543373022,-665.310715022,-665.295617022
COC(C=O)ON(C=O)C(C)=O,-664.729256641,-664.7834426410001,-664.900350641,-664.7431776410001,-664.730200641
C=C(C(=O)OC(=N)N(C)C)C(CNC(C)=O)C(=O)O,-969.5704173620001,-969.6441263620001,-969.881797362,-969.592302362,-969.5713613620001
COC(=O)N=C(COO)C(C)=O,-664.69523076,-664.7514847599999,-664.86643276,-664.7096587599999,-664.69617476
CN(C=N)NONCN=C=O,-581.767486848,-581.820567848,-581.936152848,-581.780617848,-581.768430848
CN=CNC(N)C(N)(O)ON1CCNCC1,-795.5195862520001,-795.5820842520001,-795.851642252,-795.5373202520001,-795.5205302520001
N=NCC(=O)N=C(N)CC1C=CC=C1,-644.1324687770001,-644.188780777,-644.355785777,-644.1468907770001,-644.1334127770001
C=NC=CC1=NC=CO1,-416.80381785,-416.84553685,-416.92540985,-416.81252685,-416.80476185
N=C(O)C(O)(O)O,-434.822704268,-434.862170268,-434.918719268,-434.831025268,-434.823648268
C=C(C)C(N)NN,-323.098190446,-323.140213446,-323.268328446,-323.107611446,-323.099134446
C=NOCNCN=C(C)N,-491.741547141,-491.79201114100005,-491.940099141,-491.754027141,-491.742491141
C=CN(C)C(N)C(=N)N,-416.56814501,-416.61444201,-416.76231201,-416.57937401000004,-416.56908901
