ar,h,f,spe
MR_654814_2_20_2_4_6_1,-793.344764,-793.407929,-793.623195
MR_654814_2_24_2_6_3_5,-753.898961,-753.960274,-754.144091
MR_654814_2_25_2_7_4_12,-656.671581,-656.731043,-656.898011
MR_654814_2_26_2_5_5_7,-735.672147,-735.730434,-735.900081
MR_654814_2_28_2_7_7_13,-790.924343,-790.984386,-791.154609
MR_654814_2_30_3_3_3_6,-734.497727,-734.558787,-734.701996
MR_654814_2_32_3_1_5_5,-715.128334,-715.182948,-715.290657
MR_654814_2_35_3_6_8_64,-793.582582,-793.642045,-793.803537
MR_654814_2_39_3_1_6_3,-734.576261,-734.635219,-734.78095
MR_654814_2_42_4_3_4_2,-584.083758,-584.137518,-584.277455
MR_654814_2_44_4_6_6_3,-777.236853,-777.30415,-777.524522
MR_654814_2_47_4_2_4_5,-624.554746,-624.614864,-624.802395
MR_654814_2_51_4_11_8_2,-581.851058,-581.900849,-582.017271
MR_654814_2_56_5_6_5_2,-659.807846,-659.859587,-659.95299
MR_654814_2_57_5_1_6_5,-680.37514,-680.434742,-680.585203
MR_654814_2_58_5_4_7_13,-791.464468,-791.521335,-791.642101
MR_654814_2_61_6_1_7_6,-751.671348,-751.72701,-751.8742
MR_654814_2_62_6_8_8_59,-752.800206,-752.86103,-753.027951
MR_654814_2_65_6_5_8_1,-682.576725,-682.635365,-682.819645
MR_654814_2_68_7_17_7_4,-865.909802,-865.968755,-866.129107
MR_654814_2_69_7_7_8_22,-909.254253,-909.316634,-909.521639
MR_654814_2_6_1_2_7_6,-924.21372,-924.278204,-924.443853
MR_654814_2_71_8_57_8_50,-852.423185,-852.482738,-852.722316
MR_103052_0_10_3_5,-644.46813,-644.527175,-644.698844
MR_103052_0_12_5_1,-511.734346,-511.783731,-511.913093
MR_103052_0_13_6_3,-644.592464,-644.652009,-644.826118
MR_103052_0_14_7_12,-660.425035,-660.48009,-660.631208
MR_103052_0_17_2_6,-546.049139,-546.101577,-546.234837
MR_103052_0_26_3_6,-565.852276,-565.904131,-566.023861
MR_23532_0_13_1_7_6_8,-772.773468,-772.83366,-772.98749
MR_23532_0_19_2_11_5_7,-661.650224,-661.707324,-661.897431
MR_23532_0_1_1_3_2_2,-754.038095,-754.098357,-754.288029
MR_23532_0_29_2_8_8_54,-679.846899,-679.904657,-680.112925
MR_23532_0_33_3_6_6_2,-660.527652,-660.586721,-660.751068
MR_23532_0_37_3_1_4_1,-507.801878,-507.850706,-507.981627
MR_23532_0_40_3_2_7_12,-715.639285,-715.696807,-715.866257
MR_23532_0_52_5_3_5_9,-664.385558,-664.442822,-664.60624
MR_23532_0_57_5_3_6_2,-644.538287,-644.595038,-644.775909
MR_23532_0_5_1_3_6_7,-813.206547,-813.26948,-813.472759
MR_23532_0_65_6_5_8_22,-798.297434,-798.359263,-798.600412
MR_23532_0_68_7_8_7_9,-739.882864,-739.943286,-740.156189
MR_23532_0_69_7_5_8_50,-776.0446,-776.102411,-776.315825
MR_23532_0_71_8_20_8_8,-778.271679,-778.332349,-778.585524
MR_326361_0_13_1_7_6_6,-888.519645,-888.585138,-888.792096
MR_326361_0_26_2_11_5_7,-736.857956,-736.918231,-737.108745
MR_326361_0_27_2_2_6_8,-714.717091,-714.776851,-714.933328
MR_326361_0_29_2_11_8_19,-892.865122,-892.935945,-893.212586
MR_326361_0_34_3_5_7_8,-831.344351,-831.409373,-831.626352
MR_326361_0_41_3_6_8_29,-794.394259,-794.458296,-794.695756
MR_326361_0_46_4_12_8_50,-717.052471,-717.109564,-717.320137
MR_326361_0_51_4_7_8_25,-719.240704,-719.301199,-719.540722
MR_326361_0_57_5_6_6_7,-794.989477,-795.04984,-795.235064
MR_326361_0_67_7_12_8_53,-849.612103,-849.67649,-849.917564
MR_326361_0_70_8_31_8_15,-833.709964,-833.774636,-834.044064
MR_520957_1_6_7_8,-606.161554,-606.21326,-606.375026
MR_520957_1_7_8_18,-615.727242,-615.78525,-616.042033
MR_533525_0_1_1_5_2_10,-907.884801,-907.952813,-908.196352
MR_599912_1_24_2_1_3_5,-720.638727,-720.70202,-720.884879
MR_599912_1_45_4_7_7_14,-643.051985,-643.107583,-643.247646
MR_599912_1_49_4_6_6_4,-665.337099,-665.397458,-665.565661
MR_599912_1_56_5_11_5_8,-664.734475,-664.788243,-664.901224
MR_599912_1_58_5_4_7_2,-758.107337,-758.164238,-758.284027
MR_599912_1_5_1_7_6_1,-814.716957,-814.77865,-814.935222
